,date,open,high,low,close,volume,day,month,year,day_name
1754,2019-10-29,11643.95,11809.15,11627.5,11790.35,0,29,10,2019,Tuesday
1755,2019-10-30,11883.9,11883.9,11785.05,11849.8,0,30,10,2019,Wednesday
1756,2019-10-31,11890.45,11944.4,11856.25,11881.2,0,31,10,2019,Thursday
1757,2019-11-01,11886.6,11917.85,11843.35,11899.5,0,1,11,2019,Friday
1760,2019-11-04,11928.9,11988.9,11906.1,11945.15,0,4,11,2019,Monday
1761,2019-11-05,11974.6,11978.8,11862.45,11918.6,0,5,11,2019,Tuesday
1762,2019-11-06,11911.5,12002.7,11850.4,11961.0,0,6,11,2019,Wednesday
1763,2019-11-07,12021.1,12021.1,11947.15,12016.1,0,7,11,2019,Thursday
1764,2019-11-08,11987.15,12033.95,11890.45,11905.7,0,8,11,2019,Friday
1767,2019-11-11,11879.2,11932.55,11854.05,11912.75,0,11,11,2019,Monday
1769,2019-11-13,11908.3,11946.25,11823.45,11835.55,0,13,11,2019,Wednesday
1770,2019-11-14,11858.75,11894.85,11802.9,11869.2,0,14,11,2019,Thursday
1771,2019-11-15,11904.2,11972.65,11880.25,11895.3,0,15,11,2019,Friday
1774,2019-11-18,11915.15,11945.9,11867.8,11894.25,0,18,11,2019,Monday
1775,2019-11-19,11919.45,11958.65,11881.9,11955.65,0,19,11,2019,Tuesday
1776,2019-11-20,12004.75,12038.5,11968.0,11993.45,0,20,11,2019,Wednesday
1777,2019-11-21,12025.65,12025.9,11957.15,11964.05,0,21,11,2019,Thursday
1778,2019-11-22,11967.3,11967.3,11883.6,11916.1,0,22,11,2019,Friday
1781,2019-11-25,11922.45,12083.9,11922.45,12079.0,0,25,11,2019,Monday
1782,2019-11-26,12110.2,12132.15,12006.8,12046.8,0,26,11,2019,Tuesday
1783,2019-11-27,12068.5,12114.1,12055.35,12112.2,0,27,11,2019,Wednesday
1784,2019-11-28,12132.1,12157.75,12100.4,12155.4,0,28,11,2019,Thursday
1785,2019-11-29,12146.2,12146.65,12017.6,12048.0,0,29,11,2019,Friday
1788,2019-12-02,12137.05,12137.05,12024.5,12048.25,0,2,12,2019,Monday
1789,2019-12-03,12067.65,12067.65,11956.8,12001.05,0,3,12,2019,Tuesday
1790,2019-12-04,11969.95,12054.45,11935.5,12037.3,0,4,12,2019,Wednesday
1791,2019-12-05,12071.25,12081.2,11999.1,12007.9,0,5,12,2019,Thursday
1792,2019-12-06,12047.35,12056.85,11888.95,11914.15,0,6,12,2019,Friday
1795,2019-12-09,11939.1,11981.9,11888.4,11936.95,0,9,12,2019,Monday
1796,2019-12-10,11950.5,11950.5,11844.75,11861.25,0,10,12,2019,Tuesday
1797,2019-12-11,11867.35,11922.8,11832.5,11913.2,0,11,12,2019,Wednesday
1798,2019-12-12,11944.3,12004.8,11934.25,11968.7,0,12,12,2019,Thursday
1799,2019-12-13,12031.3,12098.15,12026.1,12089.75,0,13,12,2019,Friday
1802,2019-12-16,12131.35,12133.0,12046.65,12060.5,0,16,12,2019,Monday
1803,2019-12-17,12082.45,12182.7,12070.85,12174.4,0,17,12,2019,Tuesday
1804,2019-12-18,12197.0,12237.55,12163.8,12227.45,0,18,12,2019,Wednesday
1805,2019-12-19,12223.4,12267.35,12191.45,12259.8,0,19,12,2019,Thursday
1806,2019-12-20,12266.45,12293.25,12253.05,12267.45,0,20,12,2019,Friday
1809,2019-12-23,12235.45,12286.95,12213.8,12266.15,0,23,12,2019,Monday
1810,2019-12-24,12269.25,12283.55,12202.75,12212.0,0,24,12,2019,Tuesday
1812,2019-12-26,12211.85,12220.75,12120.1,12130.9,0,26,12,2019,Thursday
1813,2019-12-27,12172.9,12257.6,12158.25,12250.7,0,27,12,2019,Friday
1816,2019-12-30,12274.9,12286.3,12213.95,12258.75,0,30,12,2019,Monday
1817,2019-12-31,12247.1,12247.1,12152.25,12176.3,0,31,12,2019,Tuesday
1818,2020-01-01,12202.15,12222.05,12165.4,12189.7,0,1,1,2020,Wednesday
1819,2020-01-02,12198.55,12289.75,12198.2,12282.35,0,2,1,2020,Thursday
1820,2020-01-03,12261.1,12265.5,12192.4,12222.2,0,3,1,2020,Friday
